x,y,t,id
-73.8350502,42.7570143,2011-03-06T01:40:54Z,1078
-73.8355043,42.7569718,2011-03-06T01:50:46Z,1078
-73.8349323,42.7571996,2011-03-06T02:00:14Z,1078
-73.8350496,42.7571425,2011-03-06T02:10:52Z,1078
-73.8352074,42.7573349,2011-03-06T02:20:35Z,1078
-73.8352036,42.7577958,2011-03-06T02:30:27Z,1078
-73.8349337,42.7577677,2011-03-06T02:40:57Z,1078
-73.8351995,42.7574768,2011-03-06T02:51:05Z,1078
-73.8349467,42.7576583,2011-03-06T03:11:44Z,1078
-73.8354803,42.7573203,2011-03-06T03:21:16Z,1078
-73.835020600000007,42.7575217,2011-03-06T03:30:49Z,1078
-73.8348385,42.7574938,2011-03-06T03:41:04Z,1078
-73.8349235,42.7575375,2011-03-06T03:51:07Z,1078
-73.8349382,42.7575059,2011-03-06T04:01:02Z,1078
-73.8346344,42.7576312,2011-03-06T04:10:24Z,1078
-73.8349579,42.7575295,2011-03-06T04:20:35Z,1078
-73.8349583,42.7575935,2011-03-06T04:30:46Z,1078
-73.8345213,42.7578101,2011-03-06T04:40:34Z,1078
-73.8347727,42.7576726,2011-03-06T04:50:54Z,1078
-73.835845,42.7572267,2011-03-06T05:01:16Z,1078
-73.8351944,42.7574835,2011-03-06T05:11:22Z,1078
-73.835165,42.7575251,2011-03-06T05:20:31Z,1078
-73.8354742,42.7572001,2011-03-06T05:30:45Z,1078
-73.8348368,42.7574618,2011-03-06T05:40:46Z,1078
-73.8349532,42.7576546,2011-03-06T06:00:23Z,1078
-73.8348128,42.7577823,2011-03-06T06:10:50Z,1078
-73.8343862,42.7574245,2011-03-06T06:20:36Z,1078
-73.8334641,42.7580992,2011-03-06T06:30:24Z,1078
-73.8322055,42.7613501,2011-03-06T06:41:14Z,1078
-73.8333233,42.7632025,2011-03-06T06:50:44Z,1078
-73.8353916,42.7655878,2011-03-06T07:00:50Z,1078
-73.8403089,42.7665029,2011-03-06T07:11:02Z,1078
-73.8439889,42.7658664,2011-03-06T07:21:01Z,1078
-73.8438598,42.7664713,2011-03-06T07:31:01Z,1078
-73.843082,42.766844,2011-03-06T08:10:50Z,1078
-73.8431392,42.7665478,2011-03-06T08:30:15Z,1078
-73.8431091,42.7669696,2011-03-06T08:40:52Z,1078
-73.8430945,42.7668828,2011-03-06T08:50:37Z,1078
-73.843099,42.766938,2011-03-06T09:00:50Z,1078
-73.842913,42.7669862,2011-03-06T09:10:41Z,1078
-73.8430752,42.7669132,2011-03-06T09:20:52Z,1078
-73.8431155,42.7669733,2011-03-06T09:30:35Z,1078
-73.8431262,42.7668893,2011-03-06T09:40:46Z,1078
-73.8430973,42.766943,2011-03-06T09:51:04Z,1078
-73.8430583,42.7668989,2011-03-06T10:10:40Z,1078
-73.8428914,42.7666497,2011-03-06T10:20:52Z,1078
-73.8452009,42.7653649,2011-03-06T10:51:10Z,1078
-73.8439648,42.7654827,2011-03-06T11:00:59Z,1078
-73.8435139,42.7640843,2011-03-06T11:51:03Z,1078
-73.8435144,42.7641549,2011-03-06T12:00:54Z,1078
-73.8438322,42.7636413,2011-03-06T17:51:34Z,1078
-73.8434542,42.7639403,2011-03-06T18:00:58Z,1078
-73.8436096,42.7639622,2011-03-06T18:10:53Z,1078
-73.8432832,42.7640044,2011-03-06T18:20:52Z,1078
-73.8437018,42.7637859,2011-03-06T18:31:40Z,1078
-73.8436228,42.7641199,2011-03-06T18:41:34Z,1078
-73.8435516,42.763983,2011-03-06T18:51:22Z,1078
-73.8432795,42.7644971,2011-03-06T19:11:09Z,1078
-73.843448,42.7638355,2011-03-06T19:20:54Z,1078
-73.8436978,42.7644005,2011-03-06T19:31:04Z,1078
-73.8435297,42.76353,2011-03-06T19:51:44Z,1078
-73.8429372,42.7647864,2011-03-06T20:31:27Z,1078
-73.8436793,42.7640284,2011-03-06T21:21:26Z,1078
-73.8434106,42.7640212,2011-03-06T21:30:53Z,1078
-73.8432607,42.763901,2011-03-06T21:40:52Z,1078
-73.8434703,42.7641727,2011-03-06T21:51:15Z,1078
-73.8433018,42.7638648,2011-03-06T22:01:49Z,1078
-73.8428956,42.7633826,2011-03-06T22:11:23Z,1078
-73.8436579,42.7641125,2011-03-06T22:21:45Z,1078
-73.8432666,42.7632685,2011-03-06T22:41:49Z,1078
-73.8344609,42.7573496,2011-03-07T00:11:02Z,1078
-73.8351192,42.75769,2011-03-07T00:20:52Z,1078
-73.8349473,42.7575429,2011-03-07T00:41:40Z,1078
-73.834892,42.7574769,2011-03-07T00:51:46Z,1078
-73.8347245,42.757539800000004,2011-03-07T01:01:05Z,1078
-73.8349183,42.7574598,2011-03-07T01:10:40Z,1078
-73.8350978,42.7575734,2011-03-07T01:20:58Z,1078
-73.8349753,42.7575256,2011-03-07T01:31:23Z,1078
-73.8349453,42.7575029,2011-03-07T01:41:10Z,1078
-73.8350677,42.7576542,2011-03-07T01:50:52Z,1078
-73.8352268,42.7576336,2011-03-07T02:00:54Z,1078
-73.8351415,42.7575822,2011-03-07T02:10:57Z,1078
-73.8351349,42.7576315,2011-03-07T02:20:19Z,1078
-73.8351409,42.7575906,2011-03-07T02:31:09Z,1078
-73.8352141,42.7575799,2011-03-07T02:51:22Z,1078
-73.8354456,42.7565006,2011-03-07T04:11:44Z,1078
-73.8358434,42.7567682,2011-03-07T04:20:17Z,1078
-73.8355068,42.756512,2011-03-07T04:30:16Z,1078
-73.8286781,42.7537686,2011-03-07T04:51:15Z,1078
-73.8344651,42.760473,2011-03-07T08:31:02Z,1078
-73.8341728,42.7605502,2011-03-07T08:40:52Z,1078
-73.8415194,42.7618112,2011-03-07T08:50:54Z,1078
